# from https://www.ethnolink.com.au/good-morning-in-different-languages/
Afrikaans;Goeiemôre, Môre
Aklan;Mayad nga agahon
Albanian;Mirëmëngjes
Aleut;Qilachxizax̂
Alsatian;Güete Morge
Altay;Јакшылыкту таҥла (Ĵakšılıktu tañla)
Amharic;Endemn adderu
Arabic;صباح الخير (Sabah-il-kheir)
Aragonese;Buen diya
Aramaic;Safro bricho
Arapaho;Nii’óóke’
Armenian;Paree looys, Bari luys
Assamese;সুপ্ৰভাত (xuprôbhat)
Assyrian;Kedamtookh brikhta
Asturian;Bonos díes
Azerbaijani;Sabahınız xeyir
Balinese;Rahajeng semeng
Bamougoum;Oli yah
Bangla;Shuvo sokal
Bashkir;хәйерле ирте (xäyyerlye irtye)
Basque;Egun on
Bavarian;Guadn moing
Belarusian;Добрай раніцы (Dobraj ranicy)
Bemba;Mwashibukeni
Bengali Shu;probhaat
Bisaya;Maayong adlaw
Bislama;Gudmoning
Bosnian;Dobro jutro
Breton;Demat
Bulgarian;Dobro utro
Bulgarian;Добро утро (Dobro utro)
Cantonese;Zou san
Cape Verdean;Creole Bon dia
Catalan;Bon dia
Cebuano;Maayong Buntag
Cebuano;Maayong buntag!
Chichewa;Mwadzuka bwanji
Chuukese;Nesor annim
Chuvash;Ыра кун пултӑр (Yra kun pultăr)
Cimbrian;Guuten mòrgont!
Coastal;Kadazan Kopivosian doungosuvab
Corse;Bun ghjiornu
Corsican;Bonghjornu
Creole;Bonjou
Croatian;Dobro jutro
Cuyonon;Mayad nga tiprano
Czech;Dobré ráno
Danish;God morgen
Dari;Sob Bakhaer
Divehi;Baajjaveri hedhuneh
Dutch;Goede morgen
Dzongkha;Chubo dele
Elfdalian;Gumåron
English;Good morning
Esperanto;Bonan matenon
Estonian;Tere hommikust
Etsakor;Naigbia
Fanti;Me ma wo akye
Fijian;Sa Yadra
Filipino;Magandang umaga po
Finnish;Hyvää huomenta
Flemish (West);Goeije morn
French;Bonjour
Frisian (North);Moin
Frisian (Saterland);Moarn
Frisian (West);Goeie moarn
Frisian;Goeie moarn
Friulian;Bundì
Galician;Bos dias
Garifuna;Buiti binafi
Gascon;Bon jorn
Georgian;Dila mushwidobisa
German;Guten Morgen
Greek;Kaliméra
Greenlandic;Iterluarit
Gujarati;Subh Prabhat
Hakka;On zoh
Hausa;Inaa kwana
Hawaiian;Aloha kakahiaka
Hebrew;Boker tov
Hiligaynon;Maayong aga
Hindi;Shubh prabhat
Hungarian;Jo reggelt
Icelandic;Gódan daginn
Ilocano;Naimbag nga Aldaw
Indonesian;Selamat pagi
Irish (Gaelic);Dia dhuit/dhaibh ar maidin / Maidin mhaith
Italian;Buon giorno
Japanese;お早うございます (ohayō gozaimasu) お早う (ohayō)
Javanese;ꦱꦸꦒꦼꦁꦲꦺꦚ꧀ꦗꦶꦁ (Sugeng énjing)
Jenesch;Voscha zarra
Kalaallisut (Greenlandic);Iterluarit / Kumoorn
Kalmyk;Сән хонвт! (Sän xonvt)
Kannada;ಶುಭೋದಯ (shubhodaya)
Kapampangan;Mayap a abak
Kashubian;Dzén dobri
Kazakh;Қайырлы таң! (Qayırlı tañ!)
Khmer;Arrun Suo Sdey
Kimeru;Muga rukiiri
Kinyarwanda;Muraho
kiSwahili (Swahili);Habari ya asubuhi
Konkani;Dev Tuka Boro Dis Divum
Korean;안녕하십니까 (annyeong hashimnikka)
Kurdish;Badini Spede bash
Lao;ສະບາຍດີ ton sao (sába̖ai-di̖i ton sao)
Latin;Quid agis mane?
Latvian;Labrīt
Laz;კაი ოუმანი (Ǩai oumani)
Limburgish;Gojemörge
Lingala;Mbote
Lithuanian;Labas reytas
Low Saxon (Goden);Morgen
Lozi Lumela; U zuhile cwang’i?
Luganda;Wasuze otyano
Luo;Oyawore
Luxembourg;Gudde moien
Macedonian;Dobro utro
Malay;Selamat pagi
Malayalam;Suprabhatham
Malaysian;Selamat pagi
Mallorcan;Wep!, com anam?
Maltese;Bonġu / L-għodwa t-tajba / Bonġornu
Mandarin;Zao shang hao
Manx;Moghrey mie
Maori;Ata marie
Marathi;Suprabhat
Mongolian;Öglouny mend
Navajo;Yá’át’ééh abíní
Ndebele;Livukenjani
Nepali;Subha prabhat
Northern Sotho;Thobela
Norwegian;God morgen
Nsenga;Mwauka tyani
Nupe;Kube lazhin
Occitan;Bonjorn
Ojibwe;Mino gigizheb (“It’s a good morning”)
Owambo;Wa lalapo
Pashto;Sahar de pa Khair
Persian;Subbakhair
Polish;Dzień dobry
Polynesian;Ia ora na
Português (European);Bom dia
Portuguese (Brazilian);Bom dia
Punjabi;Sat Shri Akal
Rapa;Nui Iorana
Romanian;Buna dimineata
Russian;Доброе утро (Dobroe utro)
Samoan;Manuia le taeao
Samoan;Talofa lava
Sanskrit;सुप्रभातम् (suprabhātam)
Sardinian;(Logudorese) Bon jiorno
Sardinian;Bona dia
Scots;Guid mornin
Scottish;Madainn mhath
Serbian;Добро јутро (Dobro jutro)
Serrano;Hakup ‘a’ay taamit
Sesotho;Mmoro (sg) Mmorong (pl)
Shona;Mangwanani
Sinhala;Suba Udesanak Wewa
Slovak;Dobré ráno (used until 8am)
Slovenian;Dobro jutro (used until 8am)
Solresol;Simi
Somali;Subax wanaagsan
Somalian;Subax wanaagsan
Sorbian (Lower);Dobre zajtšo
Sorbian (Upper);Dobre ranje
Southern Sámi;Buerie aerede
Southern Sotho;Dumela
Spanish;Buenos días
Stellingwarfs;Goeiemorgen
Sundanese;Wilujeng énjing
Swahili;Habari ya asubuhi
Swazi;Sawubona
Swedish;God morgon
Swiss German;Guete Morge
Tagalog;Magandang umaga po / Magandang umaga
Taiwanese;Gau cha
Tamil;Kaalai Vannakkam
